Initial wallet: 

BTC: 0.1
DOGE: 1000
ETH: 10
USDT: 100


2020/06/01 11:57:35.334211 	Bid      	BTC/USDT   	Offers: 9541.09946718 USDT/unit	Requests: 0.0020961945 BTC 	
2020/06/01 13:07:50.168268 	Ask      	ETH/BTC    	Offers: 0.007023016 ETH    	Requests: 0.02483602 BTC/unit	
2020/06/01 13:07:50.168268 	Bid      	ETH/USDT   	Offers: 236.54248705 USDT/unit	Requests: 0.0020504618 ETH 	
2020/06/01 13:07:50.168268 	Bidsale  	BTC/USDT   	Paid 0.7578458403 USDT     	Received 0.0000795642 BTC  	
2020/06/01 13:07:50.168268 	Bidsale  	DOGE/USDT  	Paid 0.60627667 USDT       	Received 235.7062985572 DOGE	
2020/06/01 13:07:50.168268 	Asksale  	ETH/BTC    	Paid 0.007023016 ETH       	Received 0.0001744238 BTC  	
2020/06/01 13:07:50.168268 	Bidsale  	ETH/USDT   	Paid 0.4850213342 USDT     	Received 0.0020504618 ETH  	
2020/06/01 13:07:55.174646 	Bid      	BTC/USDT   	Offers: 9524.95586556 USDT/unit	Requests: 0.0000407369 BTC 	
2020/06/01 13:07:55.174646 	Bid      	ETH/BTC    	Offers: 0.02483569 BTC/unit	Requests: 0.0119575898 ETH 	
2020/06/01 13:07:55.174646 	Bidsale  	BTC/USDT   	Paid 0.3880170659 USDT     	Received 0.0000407369 BTC  	
2020/06/01 13:07:55.174646 	Bidsale  	ETH/BTC    	Paid 0.000296975 BTC       	Received 0.0119575898 ETH  	
2020/06/01 13:08:00.181472 	Bid      	BTC/USDT   	Offers: 9524.95586555 USDT/unit	Requests: 0.0000325895 BTC 	
2020/06/01 13:08:00.181472 	Bid      	DOGE/USDT  	Offers: 0.00257178 USDT/unit	Requests: 96.5599391531 DOGE	
2020/06/01 13:08:00.181472 	Bidsale  	BTC/USDT   	Paid 0.3104136516 USDT     	Received 0.0000325895 BTC  	
2020/06/01 13:08:00.181472 	Bidsale  	DOGE/USDT  	Paid 0.2483309203 USDT     	Received 96.5599391531 DOGE	
2020/06/01 13:08:05.188119 	Ask      	BTC/USDT   	Offers: 0.000160258 BTC    	Requests: 9524.74523483 USDT/unit	
2020/06/01 13:08:05.188119 	Bid      	ETH/USDT   	Offers: 236.61345362 USDT/unit	Requests: 0.0008396172 ETH 	
2020/06/01 13:08:05.188119 	Asksale  	BTC/USDT   	Paid 0.000160258 BTC       	Received 1.5264166446 USDT 	
2020/06/01 13:08:05.188119 	Bidsale  	ETH/USDT   	Paid 0.1986647355 USDT     	Received 0.0008396172 ETH  	
2020/06/01 13:08:10.194718 	Bid      	BTC/USDT   	Offers: 9524.95586556 USDT/unit	Requests: 0.0000487367 BTC 	
2020/06/01 13:08:10.194718 	Bid      	DOGE/USDT  	Offers: 0.00257148 USDT/unit	Requests: 144.4195932475 DOGE	
2020/06/01 13:08:10.194718 	Bid      	ETH/USDT   	Offers: 236.60162523 USDT/unit	Requests: 0.0012556874 ETH 	
