Initial wallet: 

BTC: 0.1
DOGE: 1000
ETH: 10
USDT: 100


2020/06/01 11:59:10.429963 	Bid      	ETH/BTC    	Offers: 0.02482984 BTC/unit	Requests: 0.3205712864 ETH 	
2020/06/01 11:59:15.435027 	Ask      	DOGE/USDT  	Offers: 1153.3029891547 DOGE	Requests: 0.0025583 USDT/unit	
2020/06/01 11:59:15.435027 	Bid      	ETH/USDT   	Offers: 236.92954723 USDT/unit	Requests: 0.0256199964 ETH 	
2020/06/01 11:59:15.435027 	Asksale  	DOGE/USDT  	Paid 1153.3029891547 DOGE  	Received 2.9504950372 USDT 	
2020/06/01 11:59:20.439504 	Ask      	BTC/USDT   	Offers: 0.006367787 BTC    	Requests: 9541.4496121 USDT/unit	
2020/06/01 11:59:20.439504 	Asksale  	BTC/USDT   	Paid 0.006367787 BTC       	Received 60.7579185784 USDT	
2020/06/01 11:59:25.443765 	Bid      	BTC/USDT   	Offers: 9541.4496121 USDT/unit	Requests: 0.0052182381 BTC 	
2020/06/01 11:59:35.453786 	Ask      	BTC/USDT   	Offers: 0.0050942296 BTC   	Requests: 9541.27014473 USDT/unit	
2020/06/01 11:59:35.453786 	Asksale  	BTC/USDT   	Paid 0.0050942296 BTC      	Received 48.6054204336 USDT	
2020/06/01 11:59:40.459422 	Bid      	ETH/USDT   	Offers: 237.04404443 USDT/unit	Requests: 0.3684316531 ETH 	
2020/06/01 11:59:40.459422 	Bidsale  	ETH/USDT   	Paid 30.3506702616 USDT    	Received 0.12809998 ETH    	
2020/06/01 11:59:40.459422 	Bidsale  	ETH/USDT   	Paid 56.9461490567 USDT    	Received 0.2403316731 ETH  	
2020/06/01 11:59:45.463747 	Bid      	BTC/USDT   	Offers: 9541.29753076 USDT/unit	Requests: 0.0073226543 BTC 	
2020/06/01 11:59:45.463747 	Bid      	ETH/USDT   	Offers: 236.92556183 USDT/unit	Requests: 0.2359141741 ETH 	
2020/06/01 11:59:45.463747 	Bidsale  	ETH/USDT   	Paid 6.0700320368 USDT     	Received 0.0256199964 ETH  	
2020/06/01 11:59:50.468878 	Bid      	BTC/USDT   	Offers: 9540.02842549 USDT/unit	Requests: 0.0046871221 BTC 	
2020/06/01 11:59:50.468878 	Bid      	ETH/USDT   	Offers: 236.91092897 USDT/unit	Requests: 0.1509943959 ETH 	
2020/06/01 11:59:50.468878 	Bidsale  	BTC/USDT   	Paid 49.7821395928 USDT    	Received 0.0052182381 BTC  	
2020/06/01 11:59:50.468878 	Bidsale  	BTC/USDT   	Paid 69.8590320656 USDT    	Received 0.0073226543 BTC  	
2020/06/01 11:59:50.468878 	Bidsale  	ETH/USDT   	Paid 55.8906461411 USDT    	Received 0.2359141741 ETH  	
2020/06/01 11:59:55.473249 	Ask      	ETH/USDT   	Offers: 0.0286478704 ETH   	Requests: 236.99773574 USDT/unit	
2020/06/01 12:00:00.478088 	Ask      	BTC/USDT   	Offers: 0.0065835621 BTC   	Requests: 9540.19392602 USDT/unit	
2020/06/01 12:00:00.478088 	Ask      	ETH/BTC    	Offers: 0.0057950641 ETH   	Requests: 0.02482921 BTC/unit	
2020/06/01 12:00:00.478088 	Bid      	ETH/USDT   	Offers: 237.02529329 USDT/unit	Requests: 0.1207372326 ETH 	
2020/06/01 12:00:00.478088 	Asksale  	BTC/USDT   	Paid 0.0065835621 BTC      	Received 62.8084595462 USDT	
2020/06/01 12:00:00.478088 	Asksale  	ETH/BTC    	Paid 0.0057950641 ETH      	Received 0.0001438869 BTC  	
2020/06/01 12:00:00.478088 	Bidsale  	ETH/USDT   	Paid 28.6057366786 USDT    	Received 0.1207372326 ETH  	
